Name,Total Matches,Innings,Average Score,Strike Rate,Highest Score,Fours,Sixes,Fifties,Hundreds,Total Runs
Vikram Rathour,7,7,27.57,58.30,54,16,1,2,-,193
Prithvi Shaw,6,6,31.50,113.85,49,32,2,-,-,189
Sanjay Bangar,15,15,13.84,75.31,57,14,3,1,-,180
Surinder Khanna,10,10,22.00,66.41,56,16,2,2,-,176
Ghulam Parkar,10,10,18.33,49.69,42,11,-,-,-,165
Ramesh Powar,31,19,11.64,62.69,54,12,2,1,-,163
Atul Chandrakant Bedade,13,10,22.57,86.33,51,11,5,1,-,158
Jacob Martin,10,8,22.57,47.73,39,15,-,-,-,158
Deepak Hooda,10,7,25.50,80.95,33,10,1,-,-,153
Chetan Chauhan,7,7,21.85,50.83,46,6,-,-,-,153
Rohan Gavaskar,11,10,18.87,64.52,54,8,2,1,-,151
Amay Ramsevak Khurasiya,12,11,13.54,79.25,57,14,2,1,-,149
Ashish Nehra,120,46,5.64,57.31,24,12,3,-,-,141
Vijay Bharadwaj,10,9,27.20,70.10,41,15,1,-,-,136
Rajesh Chauhan,35,18,10.15,77.19,32,5,4,-,-,132
Mannava Prasad,17,11,14.55,58.22,63,11,-,1,-,131
Krunal Pandya,5,4,65.00,101.56,58,11,2,1,-,130
Murali Kartik,37,14,14.00,70.78,32,10,1,-,-,126
Arun Lal,13,13,9.38,52.58,51,10,1,1,-,122
Lakshmipathy Balaji,30,16,12.00,78.94,21,8,3,-,-,120
Vijay Yadav,19,12,11.80,101.72,34,7,2,-,-,118
Arshad Ayub,32,17,11.60,71.60,31,6,-,-,-,116
Ruturaj Gaikwad,6,6,19.16,73.24,71,16,-,1,-,115
Gagan Khoda,2,2,57.50,62.16,89,11,-,1,-,115
Karsan Devjibhai Ghavri,19,16,11.40,58.76,20,-,-,-,-,114
Farokh Maneksha Engineer,5,4,38.00,58.46,54,13,-,1,-,114
Navdeep Saini,8,5,53.50,78.10,45,9,3,-,-,107
RP Singh,58,20,10.40,42.97,23,5,1,-,-,104
Surinder Amarnath,3,3,33.33,84.03,62,4,-,1,-,100
Syed Abid Ali,5,3,31.00,70.45,70,6,1,1,-,93
Jasprit Bumrah,89,26,7.58,57.23,16,10,1,-,-,91
Ajay Ratra,12,8,12.85,70.86,30,8,-,-,-,90
Vakkadai Biksheswaran Chandrasekhar,7,7,12.57,54.32,53,11,-,1,-,88
Vinay Kumar,31,13,9.55,58.90,27,5,2,-,-,86
Mayank Agarwal,5,5,17.20,103.61,32,12,1,-,-,86
Jai Prakash Yadav,12,7,20.25,65.85,69,11,1,1,-,81
Sridharan Sriram,8,7,13.50,60.00,57,9,-,1,-,81
-,23,12,10.00,59.25,28,4,-,-,-,80
Umesh Yadav,75,24,7.90,58.95,18,8,1,-,-,79
S Badrinath,7,6,15.80,45.93,27,4,-,-,-,79
Yuzvendra Chahal,72,14,8.55,54.60,18,8,-,-,-,77
Munaf Patel,70,27,6.72,66.07,15,7,1,-,-,74
Ajit Wadekar,2,2,36.50,81.11,67,11,-,1,-,73
Ishant Sharma,80,28,4.80,35.46,13,6,-,-,-,72
Sadanand Viswanath,22,12,9.00,51.79,23,5,-,-,-,72
Tilak Varma,4,4,22.66,57.14,52,6,1,1,-,68
Mohammed Siraj,44,17,7.85,42.63,9,3,-,-,-,55
Rinku Singh,2,2,27.50,134.14,38,5,3,-,-,55
Faiz Fazal,1,1,0.00,90.16,55,7,1,1,-,55
Srinivas Venkataraghavan,15,9,10.80,42.85,26,3,-,-,-,54
Jatin Vasudeo Paranjape,4,4,18.00,59.34,27,3,1,-,-,54
Balwinder Sandhu,22,7,12.75,52.57,16,2,1,-,-,51
Cheteshwar Pujara,5,5,10.20,39.23,27,4,-,-,-,51
Deep Dasgupta,5,4,17.00,62.19,24,6,-,-,-,51
